MODEL,SN,LSET,RUN,JOB,EYE,DATETIME,LTYPE,INSDRSPH,INSDRCYL,INSDRAX,INSDRPRVM,INSDRPRVA,INSPRSPH,INSPRCYL,INSPRAX,INSPRPRVM,INSPRPRVA,INSNRSPH,INSNRCYL,INSNRAX,INSNRPRVM,INSNRPRVA,INSCTHK,INSDIA,INSGMC,INSAV,INSDOT,INSDBPH,INSDBPV,INSDBPA,FLAG,COMMENT
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE013,R,2018-05-02T15:16:38Z,NA,4.139,3.978,90.054,0.201039797,66.24007102,4.139,3.978,90.054,0.201039797,66.24007102,NA,NA,NA,NA,NA,7.246,63.399,0.043,0.047,0.051,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE015,R,2018-05-02T15:22:40Z,NA,-9.905,3.97,179.857,0.117613775,174.1439864,-9.905,3.97,179.857,0.117613775,174.1439864,NA,NA,NA,NA,NA,1.4,65.025,0.084,0.106,0.058,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE015,R,2018-05-02T15:22:10Z,NA,-9.9065,3.973,179.873,0.125143917,-177.2519118,-9.9065,3.973,179.873,0.125143917,-177.2519118,NA,NA,NA,NA,NA,1.399,65.033,0.079,0.105,0.058,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE015,R,2018-05-02T15:21:34Z,NA,-9.9065,3.973,179.849,0.129340636,161.9853061,-9.9065,3.973,179.849,0.129340636,161.9853061,NA,NA,NA,NA,NA,1.397,65.011,0.081,0.105,0.056,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE016,R,2018-05-02T15:24:44Z,NA,-0.003,0.018,96.67,0.094762862,44.1449026,-0.003,0.018,96.67,0.094762862,44.1449026,NA,NA,NA,NA,NA,1.882,64.54,0.009,0.046,0.061,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE016,R,2018-05-02T15:24:12Z,NA,-0.0025,0.019,95.077,0.076850504,57.75753216,-0.0025,0.019,95.077,0.076850504,57.75753216,NA,NA,NA,NA,NA,1.883,64.554,0.009,0.046,0.056,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE016,R,2018-05-02T15:23:37Z,NA,-0.0035,0.019,95.566,0.083486526,46.94148639,-0.0035,0.019,95.566,0.083486526,46.94148639,NA,NA,NA,NA,NA,1.884,64.546,0.009,0.046,0.059,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE017,R,2018-05-02T15:26:54Z,NA,-2,1.99,1.743,0.210679852,128.4474453,-2,1.99,1.743,0.210679852,128.4474453,NA,NA,NA,NA,NA,1.853,64.727,0.026,0.044,0.073,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE017,R,2018-05-02T15:26:19Z,NA,-1.997,1.99,1.752,0.175504986,137.3090628,-1.997,1.99,1.752,0.175504986,137.3090628,NA,NA,NA,NA,NA,1.853,64.738,0.026,0.044,0.072,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,SVE017,R,2018-05-02T15:25:41Z,NA,-2,1.988,1.753,0.219829479,125.9315611,-2,1.988,1.753,0.219829479,125.9315611,NA,NA,NA,NA,NA,1.855,64.732,0.026,0.044,0.073,NA,NA,NA,test,Made by Essilor in Creteil
